etymon,ol_cluster,ol_type,ol_position,check,root,etymon_lang,inherited_form,other_forms,lang_variety,date,sound_change,outcome,status,palat,sources_and_notes
*blauka,bl,OL,#_,F,*blauka,Germ.,brouca,NA,Gal.,18,NA,/Oɾ/,u.o.,NA,"DCECH (bloque); DELG (broucar); DDD (brouca/broucar); no (etymological) information was found in DXL (194), DRAG, DEHLP, TLPGP, and DEM."
*clēta,kl,OL,#_,F,*clēta,Gaul.,Chedas,NA,GP,13,OLPAL,/ʧ/,NA,1,"REW (1988); DCECH (cleda); DEHLP (cheda); see DEM (579) for information about the text where the given inherited word is attested; DELG (chedas). In TMILG (GHCD) and DDGM (CVGP, chedeiro), only examples of GP *chedeiro* were found (15th century), which was derived from GP *cheda* (cheda, TLPGP: Freitas 1948 and TLPGP: Salgueiro 1945; DEHLP: chedeiro); *Cheda* is attested in CODOLGA (11th and 12th centuries) but the meaning is unclear."
*clocia,kl,OL,#_,F,*clŏcca,Late Lat.,chocho,NA,Pt.,18,NA,/ʧ/,u.o.,NA,"With the meaning 'doddering, feeble, dried up, spoiled (egg)'. It is possible that Sp. *chocho* is a Pt. borrowing (DCECH: chocho; cf. Roberts 2014: 475). DCECH (chocho) and DELG (chochear) proposed an etymon that went back to Late Lat. [\*clŏcca]{.smallcaps}. DEHLP (chocho) preferred Lat. [flŭxus]{.smallcaps} as the origin, as did DEM (589), while NDLP (chocho) preferred Lat. [suctus]{.smallcaps}. DXL (276) and DRAE (chocho 2) suggested an onomatopoeic origin for Gal. and Sp. *chocho* (cf. *froixo* (GP))."
*clŏcca,kl,OL,#_,F,*clŏcca,Late Lat.,choca,NA,GP,13,OLPAL,/ʧ/,u.e.,1,"With the meaning 'brooding hen, stagnant water, spoiled (egg)'; FF (329); GCLI (232); DELG (chocar 2); DEHLP (choco); DDGM (choca/chocar); DXL (276, chocar 1/choco 2); TMILG (LP). DEM (588-590, chocar 1/choca 1) seemed to imply that both GP *choca/chocalho* 'cowbell' and GP *choca* 'brooding hen, stagnant water, spoiled (egg)' came from Lat. [\*clŏcca-]{.smallcaps} (also DEEH: 584-5). Conversely, DEHLP (choca 1/choco), DCECH (chocallo/clueca) and DXL (276-7, choca/choco 2) proposed two different etymologies: Late Lat. [clocca]{.smallcaps} 'bell' (perhaps of Celtic origin) for GP *choca/chocallo*, and [\*clŏcca]{.smallcaps} (of onomatopoeic origin) for GP *choca* 'brooding hen' (see root = [clocca]{.smallcaps})."
*clŏcca,kl,OL,#_,F,*clŏcca,Late Lat.,llueza,"chueca, llueca",Ast.,NA,OLPAL,/ʎ/,u.e.,1,"With the meaning 'brooding hen, spoiled or empty (egg, nuts)'; GCLI (232); DCECH (clueca); DGLA (llueca/lluezu); DALLA (lluecu); DEEH (276)."
*clŏcca,kl,OL,#_,F,*clŏcca,Late Lat.,llueca,clueca,Sp.,17,OLPAL,/ʎ/,u.e.,1,"Contrary to other scholars (DEM: 588-90, chocar 1/choca 1; DELG: chocar 2/choca 2; REW: 1995; DEEH: 584-5), DCECH (chocallo/clueca) seemed to propose two different etymologies for Ast. *llueza* and GP *choca* 'brooding hen', on the one hand, and for Leon. *chocallo* and Ast. *llueca* 'cowbell', on the other hand: Late Lat. \*[clŏcca]{.smallcaps} (onomatopoeic origin) and Late Lat. [clocca]{.smallcaps} 'bell' (perhaps of Celt. origin) (also DXL: 276-7, choca/choco 2; DEHLP: choca 1/choco) (see root = [clocca]{.smallcaps}). See DCECH (cócora/en cuclillas) for other possible inherited forms from Lat. \*[clŏcca]{.smallcaps} or cf. *clueca* (Sp.)."
*flaskô,fl,OL,#_,F,*flaskô,Got.,frasca,NA,OSp.,13,RHOT,/Oɾ/,u.e.,0,"DRAE (frasco); DEEH (683); cf. CORDE. DCECH (frasco) claimed that Sp. *frasco* (attested in the 16th century) and OSp. *frasca* are inherited forms but admitted that they could possibly be Galician-Portuguese borrowings. REW (3355) considered Sp. and Pt. *frasco* to be Italian borrowings. For information on the given inherited word, see DCECH (enfrascarse/frasco)."
*flaskô,fl,OL,#_,F,*flaskô,Got.,frasca,NA,GP,15,RHOT,/Oɾ/,u.e.,0,"DCECH (frasco); DEHLP (frasco/frasca); REW (3355); DEEH (683); DEM (1028-9); DXL (601); DLPC (1815). Pt. *frasco* is attested in the 16th century (DEM: 1028-9; DEHLP: frasco) but, according to DCECH (frasco), GP *frasca* is perhaps already attested in the 14th century. *flascas* is attested in a Cantabrian document from the 9th century (cf. CODOLGA)."
*klappa,kl,OL,#_,F,*klappa (u.e.),u.o.,chapas,NA,OSp.,14,OLPAL,/ʧ/,u.e.,1,"With the meaning 'metal or wood sheet'; CORDE. Most sources hypothesized an etymological base *\*klapp-* or *\*clapp* of uncertain origin (DCECH: chapa; DEHLP: chapa; TDHLE: chapa; DELG: chapa; REW: 4706a). Other sources (DEEH: 123, 551; DEM: 495, 572; see also DEHLP: chapa) preferred Lat. [cappa]{.smallcaps} as the etymon (arguments against this in DCECH: chapa). DCECH (chapa) argued that /ʧ/ is not an unexpected outcome in this case: since OSp. *chapas* would have been usually used in the plural form, sandhi rules at word-boundaries would have applied, so that OSp. *chapas* would have been preceded by a consonant. Therefore, the OL cluster would have been understood as postconsonantal, where /ʧ/ is the expected outcome, instead of word-initial, where /ʎ/ would have been expected (cf. García-Covelo 2025: 25-33)."
*klappa,kl,OL,#_,F,*klappa (u.e.),u.o.,chapas,NA,GP,14,OLPAL,/ʧ/,u.e.,1,"Most sources hypothesized an etymological base *\*klapp-* or *\*clapp* of uncertain origin (DCECH: chapa; DEHLP: chapa; TDHLE: chapa; DELG: chapa; REW: 4706a). Other sources (DEEH: 123, 551; DEM: 495, 572; see also DEHLP: chapa) preferred Lat. [cappa]{.smallcaps} as the etymon (arguments against this in DCECH: chapa); see also DDGM (chapa) and TMILG (HT, CT)."
