etymon_id,etymon,ol_type_id,ol_cluster_id,ol_length_id,ol_pos_id,root_id,lang_id,meaning,notes
1,acclāmāre,1,2,2,3,58,6,,
2,acetabŭla,2,1,1,3,9,6,,
3,aciscŭlus,2,2,1,2,10,3,,
4,acūcŭla,2,2,1,3,12,6,,
5,acūcŭlarius,2,2,1,3,11,6,,
6,adŏcŭlāre,2,2,1,3,158,6,,
7,afflāre,1,3,2,3,103,6,,
8,afflatĭcum,1,3,2,3,103,3,,
9,"afflictio, -ōnis",1,3,2,3,13,6,,
10,affligĕre,1,3,2,3,13,6,,
11,agglŏmĕrāre,1,7,2,3,128,6,,
12,ambŭlāre,2,1,1,2,14,6,,
13,amplus,1,4,1,2,15,6,,
14,*amyndŭla,2,5,1,3,16,3,,
15,anatĭcŭla,2,2,1,3,17,6,,
16,*anēthŭlum,2,6,1,3,18,6,,
17,angŭla,2,7,1,2,19,6,,
18,angŭla vĕtŭla,2,7,1,2,19,6,,
19,angŭlāris,2,7,1,2,19,6,,
20,angŭlus,2,7,1,2,19,6,,
21,annĭcŭlus,2,2,1,3,20,6,,
22,apĕrī ŏcŭlos,2,2,1,3,158,6,,
23,apĭcŭla,2,2,1,3,21,6,,
24,*apparĭculāre,2,2,1,3,23,3,,
25,applānāre,1,4,2,3,170,3,,
26,applaudĕre,1,4,2,3,178,6,,
27,applĭcāre,1,4,2,3,182,6,,
28,(Aquis) Flavĭīs,1,3,1,1,249,6,,
29,artĭcŭlus,2,2,1,3,24,6,,
30,astŭla,2,6,1,2,26,6,,
31,aurĭcŭla,2,2,1,3,25,6,,
32,bacŭla,2,2,1,3,27,6,,
33,bacŭlum,2,2,1,3,28,6,,
34,*battŭcŭlum,2,2,1,3,29,6,,
35,*batuācŭlum,2,2,1,3,29,3,,
36,biblia,1,1,1,3,30,6,,
37,Biclăra,1,2,1,3,250,6,,
38,*bisacŭlu,2,2,1,3,202,3,,
39,*bislĭgŭla,2,7,1,3,140,3,,
40,*bĭsŏcŭlus,2,2,1,3,158,3,,
41,blandus,1,1,1,1,32,6,,
42,blank,1,1,1,1,33,1,,
43,blāo,1,1,1,1,31,8,,
44,blasphēmāre,1,1,1,1,34,6,,
45,blastemātu,1,1,1,1,34,6,,
46,blatta,1,1,1,1,35,6,,
47,*blattŭla ,1,1,1,1,35,3,,
48,*blattŭla ,2,6,1,3,35,3,,
49,*blauka,1,1,1,1,,1,,
50,blave,1,1,1,1,36,7,,
51,blial(t),1,1,1,1,,,,
52,blĭtum,1,1,1,1,37,6,,
53,boucle,1,2,1,3,40,7,,
54,*bŭccŭla,2,2,2,3,40,3,,
55,bŭtticŭla,2,2,1,3,41,6,,
56,*caccŭlus,2,2,2,3,42,3,,
57,canīcŭla,2,2,1,3,,6,,
58,capĭtŭlum,2,6,1,3,45,6,,
59,*cappŭla,2,4,2,3,44,3,,
60,capŭlum,2,4,1,3,44,6,,
61,carbŭncŭlus,2,2,1,2,46,6,,
