inherited_word_id,inherited_word,meaning,lang_id,first_attestation,is_primary,is_regional,variety_or_region,notes
1,abeja,,17,13,yes,no,,
2,abellas,,13,13,yes,no,,
3,abraiar,,12,20,yes,no,,
4,abrojos,,17,13,yes,no,,
5,abrolhos,,13,13-14,yes,no,,
6,acetres,,13,14,yes,no,,
7,acha,,13,13,yes,no,,
8,achaar,,13,13-14,yes,no,,
9,achalgo,,13,13,yes,no,,
10,achamus,,13,10,yes,no,,
11,achazar,,12,18,yes,no,,
12,achegar,,13,13,yes,no,,
13,achitabla,,16,20,yes,yes,Alava,
14,aciche,,16,18,yes,no,,
15,aconchegar,,12,18,yes,no,,
16,adelfa,,17,13,yes,no,,
17,adelfa,,14,18,yes,no,,
18,adelha,,14,20,yes,no,,
19,affricones,,13,15,yes,no,,
20,affrigir,,13,14,yes,no,,
21,afreícion,,17,15,yes,no,,
22,afreído,,17,15,yes,no,,
23,aglomerar,,16,18,yes,no,,
24,aglomerar,,12,19,yes,no,,
25,aguja,,17,13,yes,no,,
26,agujero,,17,14,yes,no,,
27,agulia,,13,11,yes,no,,
28,allamare,,17,13,yes,no,,
29,allanada,,17,13,yes,no,,
30,allegando,,17,12,yes,no,,
31,almendra,,17,13,yes,no,,
32,amblar,,17,13,yes,no,,
33,ambrar,,13,13,yes,no,,
34,ampllo,,18,,yes,no,,
35,amuñonar,,15,,yes,no,,
36,ancho,,17,12,yes,no,,
37,ancho,,13,13,yes,no,,
38,aneldo,,17,13,yes,no,,
39,anello,,13,13,yes,no,,
40,anglo,,17,13,yes,no,,
41,angra,,13,15,yes,no,,
42,Anllada,,12,,yes,no,,
43,anllar,,12,19,yes,no,,
44,Añavieja,,16,,yes,no,,
45,añejo,,17,13,yes,no,,
46,aojados,,17,13,yes,no,,
47,aolhasse,,13,13-14,yes,no,,
48,aparejo,,16,,yes,no,,
49,aparellado,,13,13,yes,no,,
50,aplaudir,,14,17,yes,no,,
51,aplaudir,,17,15,yes,no,,
52,apusllar,,15,,yes,no,,
53,arrojar,,17,13,yes,no,,
54,arrollar,,15,,yes,no,,
55,artejo,,17,13,yes,no,,
56,artillos,,13,14,yes,no,,
57,ascla,,20,,yes,no,,
58,asollar,,15,,yes,no,,
59,astiprar,,17,13,yes,no,,
60,ayalga,,15,,yes,no,,
61,azetrelio,,17,11,yes,no,,
62,badajo,,17,15,yes,no,,
63,badalo,,13,13,yes,no,,
64,bágoa,,12,18,yes,no,,
65,bagoo,,13,14,yes,no,,
66,barata,,14,16,yes,no,,
67,batallo,,20,,yes,no,,
68,Béjar,,17,13,yes,no,,
69,beldro,,12,18,yes,no,,
70,berrojo,,17,13,yes,no,,
71,betijo,,16,20,yes,no,,
72,betillo,,12,18,yes,no,,
73,birollo,,12,19,yes,no,,
74,bisalho,,13,14,yes,no,,
75,bisuejo,,17,15,yes,no,,
76,blago,,17,13,yes,no,,
77,blanco,,17,12,yes,no,,
78,blando,,17,13,yes,no,,
79,blao,,17,14,yes,no,,
80,blavo,,17,14,yes,no,,
81,bledos,,17,14,yes,no,,
82,blincu,,15,,yes,no,,
83,bllanco,,18,,yes,no,,
84,bloca,,17,12,yes,no,,
85,bochecha,,13,14,yes,no,,
86,Bolpeleiras,,13,12,yes,no,,
87,botija,,17,14,yes,no,,
88,branca,,13,13,yes,no,,
89,brando,,13,13,yes,no,,
90,brata,,16,,yes,no,,
91,bredo,,14,16,yes,no,,
92,brial,,17,12,yes,no,,
93,brial,,13,13,yes,no,,
94,bribia,,19,14,yes,no,,
95,briuia,,13,14,yes,no,,
96,broca,,13,14,yes,no,,
97,brouca,,12,18,yes,no,,
98,bucaros,,17,15,yes,no,,
99,burujo,,17,14,yes,no,,
100,cabildo,,17,12,yes,no,,
101,cabillo,,13,13,yes,no,,
102,cacha,,17,13,yes,no,,
103,cachas,,13,13,yes,no,,
104,cacho,,12,17,yes,no,,
105,cacho,,16,16,yes,no,,
106,cacho,,13,15,yes,no,,
107,cachorro,,17,15,yes,no,,
108,cachorro,,13,14,yes,no,,
109,caco,,14,16,yes,no,,
110,carbũche,,13,14-15,yes,no,,
111,carbunclas,,17,12,yes,no,,
112,cardenchas,,17,13,yes,no,,
113,carrejo,,17,14?,yes,no,,
114,caruncho,,12,19,yes,no,,
115,caruncho,,14,16,yes,no,,
116,caruncho,,16,19,yes,no,,
117,castra,,13,15,yes,no,,
118,casula,,13,13,yes,no,,
119,casullas,,17,9,yes,no,,
120,cello,,17,13,yes,no,,
121,ceñiglo,,17,11,yes,no,,
122,cerceta,,17,15,yes,no,,
123,cercha,,17,13,yes,no,,
124,cerneja,,17,13,yes,no,,
125,çernella,,13,15,yes,no,,
126,cerniyu,,15,,yes,no,,
127,cerraja,,17,11,yes,no,,
128,chagas,,13,13,yes,no,,
129,chagou,,13,13,yes,no,,
130,chaira,,12,18,yes,no,,
131,chama,,13,13,yes,no,,
132,chaman,,13,12,yes,no,,
133,chamor,,13,13-14,yes,no,,
134,chanca,,12,19,yes,no,,
135,chanca,,14,18,yes,no,,
136,changer,,13,13,yes,no,,
137,Chano,,13,8-10,yes,no,,
138,chantage,,12,18,yes,no,,
139,chantagem,,14,16,yes,no,,
140,chanto,,13,13,yes,no,,
141,chantou,,13,13,yes,no,,
142,chanzo,,12,18,yes,no,,
143,chapas,,13,14,yes,no,,
144,chapas,,17,14,yes,no,,
145,chato,,16,17,yes,no,,
146,chato,,12,18,yes,no,,
147,chato,,14,17,yes,no,,
148,chauella,,13,13,yes,no,,
149,Chaues,,13,13,yes,no,,
150,chave,,13,13,yes,no,,
151,chaveiro/a,,13,18,yes,no,,
152,Chedas,,13,13,yes,no,,
153,chegou,,13,13,yes,no,,
154,"chenlo, chaelo",,12,20,yes,no,,
155,chẽo,,13,13,yes,no,,
156,cheyra,,13,13,yes,no,,
157,chilrar,,14,15,yes,no,,
158,chirlar,,17,15,yes,no,,
159,choca,,13,13,yes,no,,
160,choça,,13,13,yes,no,,
161,choça,,17,13,yes,no,,
162,chocallo,,19,16,yes,no,,
163,chocas,,13,13,yes,no,,
164,chocho,,14,18,yes,no,,
165,chomacio,,13,9,yes,no,,
166,chombu,,15,,yes,no,,
167,chopa,,16,18,yes,no,,
168,chopo,,12,18,yes,no,,
169,chopo,,17,14,yes,no,,
170,*chor,,13,15,yes,no,,
171,chorar,,13,13,yes,no,,
172,Chorente,,13,15,yes,no,,
173,choupa,,12,20,yes,no,,
174,choupana,,14,16,yes,no,,
175,choupas,,14,16,yes,no,,
176,choupo,,14,18,yes,no,,
177,chousura,,13,13,yes,no,,
178,Chouzan,,13,12,yes,no,,
179,chover,,13,13,yes,no,,
180,choyr,,13,13,yes,no,,
181,chuflar,,20,,yes,no,,
182,chumbo,,13,13,yes,no,,
183,chus,,13,13,yes,no,,
184,chuvia,,13,13,yes,no,,
185,cincha,,17,12,yes,no,,
186,çinchos,,13,13-14,yes,no,,
187,Cizercha,,17,15,yes,no,,
188,claridad,,17,13,yes,no,,
189,claro,,17,12,yes,no,,
190,clauar,,13,15,yes,no,,
191,clava,,16,16,yes,no,,
192,clava,,17,13,yes,no,,
193,clavos,,17,12,yes,no,,
194,clemencia,,17,13,yes,no,,
195,clerigo,,17,12,yes,no,,
196,clima,,17,13,yes,no,,
197,cllaro,,18,,yes,no,,
198,cllau,,18,,yes,no,,
199,cloaca,,14,16,yes,no,,
200,cloaga,,17,14,yes,no,,
201,coalla,,16,17,yes,no,,
202,cobra,,13,13,yes,no,,
203,cõelio,,13,12,yes,no,,
204,coella,,12,18,yes,no,,
205,colaga,,14,,yes,yes,Tras-os-Montes,
206,colleja,,16,16,yes,no,,
207,complejos,,17,15,yes,no,,
208,comprir,,13,13,yes,no,,
209,concha,,17,12,yes,no,,
210,concha,,13,14,yes,no,,
211,conchavado,,14,16,yes,no,,
212,conchavarse,,17,15,yes,no,,
213,conchegar,,14,16,yes,no,,
214,conchouso,,13,12,yes,no,,
215,concluida,,17,13,yes,no,,
216,coneio,,17,13,yes,no,,
217,contemplación,,17,13,yes,no,,
218,cópano,,17,15,yes,no,,
219,copla,,17,12,yes,no,,
220,corneja,,17,12,yes,no,,
221,cornejo,,16,17,yes,no,,
222,cornelha,,13,13,yes,no,,
223,cornelho,,14,19,yes,no,,
224,cornello,,12,19,yes,no,,
225,cornijal,,17,14,yes,no,,
226,coyunda,,17,13,yes,no,,
227,craridades,,13,13,yes,no,,
228,craro,,13,13,yes,no,,
229,crava,,13,16,yes,no,,
230,cravo,,13,13,yes,no,,
231,crego,,13,13,yes,no,,
232,crencha,,17,15,yes,no,,
233,crenchas,,14,16,yes,no,,
234,crenchas,,12,16-17,yes,no,,
235,cris,,16,17,yes,no,,
236,cristel,,17,13,yes,no,,
237,criznejas,,16,16,yes,no,,
238,crys,,13,15,yes,no,,
239,cuajada,,17,13,yes,no,,
240,cuchar,,17,13,yes,no,,
