lang_id,lang_name,lang_code,iso_639_2_3
1,Arabic,Arab.,ara
2,Aragonese,Arag.,arg
3,Astur-Leonese,AL,ast
4,Asturian,Ast.,ast
5,French,Fr.,fra
6,Galician,Gal.,glg
7,Galician-Portuguese,GP,
8,Gaulish,Gaul.,
9,Germanic,Germ.,gem
10,Gothic,Got.,got
11,Late Latin,Late Lat.,
12,Latin,Lat.,lat
13,Leonese,Leon.,ast
14,Mirandese,Mir.,mwl
15,Montañese or Astur-Leonese,Montañ. or AL,ast
16,Mozarabic,Mozarab.,mxi
17,Occitan,Occ.,oci
18,Old French,OFr.,fro
19,Old High German,OHG,goh
20,Old Spanish,OSp.,osp
21,Portuguese,Pt.,por
22,Ribagorçan Aragonese,Rib. Arag.,
23,Spanish,Sp.,spa
24,unknown,u.o.,
