root_id,root_form
1,*blauka 
2,*clēta
3,*clŏcca
4,*flaskô
5,*klappa (u.e.)
6,*lôfa
7,*scrabro
8,*wimpil
9,acetabulum
10,aciscŭlus
11,acūcŭla
12,acus
13,affligĕre
14,ambŭlāre
15,amplus
16,amygdăla
17,"anas, -ătis"
18,anēthum
19,angŭlus
20,annus
21,apis
22,apiscor
23,apparāre
24,artus
25,auris
26,axis
27,bāca
28,bacŭlum
29,bat(t)uĕre
30,biblia
31,blāo
32,blandus
33,blank
34,blasphēmāre
35,blatta
36,blave
37,blĭtum
38,bŏtŭlus
39,*blidalt 
40,bucca
41,buttis
42,caccabus
43,canis 
44,capĕre
45,caput
46,"carbo, ōnis"
47,carduus
48,caries
49,casa
50,catŭlus
51,caulis
52,caupŭlus
53,cernere
54,cĭnĭs
55,cĭrcŭlus
56,cicera
57,cingere
58,clāmāre
59,clārus
60,clāva
61,clāvis
62,clāvus
63,claudĕre
64,clēmens
65,clērus
66,clīnāre
67,clima
68,cloāca
69,clocca
70,clūnis
71,clŭpĕa
72,clŭpĕus
73,clyster
74,cōgere
75,cŏncha
76,coacŭla
77,coagŭlum
78,"cochlear, -āris"
79,complector
80,conjŭngĕre
81,templum
82,cornix
83,cornū
84,cornus
85,crinis
86,cunĭcŭlus
87,curculio
88,currĕre
89,dēbĭlis
90,dīscĕre
91,diabŏlus
92,díflà 
93,dŭplus
94,ecclēsĭa
96,eclipsis
97,exĭmĕre
98,explĭcāre
99,fabŭla
100,"fax, -cis"
101,fēnum
102,fĭstŭla
103,flāre
105,flaccus
106,flagrāre
108,flamma
109,flauta
110,flēbilis
111,flōs
112,flŏccus
113,flŭĕre
114,fŏlĭum
115,follis
116,fūr
117,genū
118,"glāns, -dis"
119,glăber
120,glacĭēs
121,gladius
122,glarĕa
123,glattīre
124,glēba
125,"glīs, -īris"
126,glōrĭa
127,glōssa
128,"glŏmus, -eris"
129,globus
130,"glūs, -tis "
131,glŭbāre
132,gluttīre
133,grācŭlus
134,hinnire
135,īnsŭla
136,ĭnflāre
137,ĭnsūbŭlum
138,"lēns, -tis"
139,levis
140,lĭgŭla
141,lingua
142,lumbrīcus
143,"mās, -ris"
144,macŭla
145,manus
146,marcus
147,mĕspĭlum
148,mīlvus
149,mīracŭlum
150,miscēre
151,mŏvēre
152,mūs
153,mŭtŭlus
154,nĕbŭla
155,neglego
156,nŏvācŭla
157,nūbes
158,ŏcŭlus
159,oblītus
160,obligo
161,offerre
162,ovis
163,pānus
164,"pār, -ris"
165,parabŏla
166,pēdis
167,pĕrgŭla
168,perīcŭlum
169,plāga
170,plānus
171,placēre
172,plagĭa
173,planca
174,plangĕre
175,planta
176,platĕa
177,platus
178,plaudĕre
179,plēnus
180,plēre
181,plĕcta
182,plĭcāre
183,plōrāre
184,plŏvĕre
185,plūma
186,"plūs, -ris"
187,plŭmbum
188,plŭtĕus
189,plŭvĭa
190,pōcŭlum
191,pōpŭlus
192,pŏpŭlus
193,portula
194,pūblĭcus
195,pustŭla
196,quĕrcēdŭla
197,radere
198,ragere
199,regō
200,replēre
201,rŏta
202,sāccus
203,saecŭlum
204,sarcŭlum
205,sarrire
206,saƫl
207,scărăbeus
208,scandŭla
209,scŏpŭlus
210,serpĕre
211,serrare
212,sībĭlus
213,sĭmplex-ĭcis
214,sĭmplus
215,sĭngŭltus or gluttire
216,sĭngŭlus
217,sĭngulāris
218,sĭtŭla
219,"sŏrs, -tis"
220,spatha
221,spĕcĕre
222,spīcum
223,stĭpŭlus
224,stipula
225,sūs
226,sŭfflāre
227,tabŭla
228,tĕmplum
229,tego
230,"tempus, -ŏris"
231,terere
232,terrae tuberum
233,tĭtŭlus
234,torquēre
235,trībŭlum
236,trĭplus
237,tŭba
238,tŭrbŭla
239,uncus
240,unguis
241,vĕtus
242,vectis
243,vermis
244,veru
245,vītis
246,vĭncīre
247,volvere
248,vŭlpes
249,Flavĭus
250,biclăra
251,pĕssŭlus
