root,etymon_lang
*blauka,1
*blidalt,1
*clēta,1
*clŏcca,1
*flaskô,1
*klappa (u.e.),1
*lôfa,1
*scrabro,1
*wimpil,1
Flavĭus,1
acetabulum,1
aciscŭlus,1
acus,1
acūcŭla,1
affligĕre,1
ambŭlāre,1
amplus,1
amygdăla,1
"anas, -ătis",1
anēthum,1
angŭlus,1
annus,1
apis,1
apiscor,1
apparāre,1
artus,1
auris,1
axis,1
bacŭlum,1
bat(t)uĕre,2
bāca,1
biblia,1
biclăra,1
blandus,1
blank,1
blasphēmāre,1
blatta,2
blave,1
blāo,1
blĭtum,1
bucca,2
buttis,1
bŏtŭlus,1
caccabus,1
canis,1
caput,1
capĕre,2
"carbo, ōnis",1
carduus,1
caries,1
casa,1
catŭlus,1
caulis,1
caupŭlus,1
cernere,2
cicera,1
cingere,1
claudĕre,1
clāmāre,1
clārus,1
clāva,1
clāvis,1
clāvus,2
clēmens,1
clērus,1
clima,1
cloāca,1
clocca,1
clyster,1
clīnāre,1
clūnis,1
clŭpĕa,1
clŭpĕus,1
coacŭla,1
coagŭlum,1
"cochlear, -āris",1
complector,1
conjŭngĕre,1
cornix,1
cornus,1
cornū,1
crinis,1
cunĭcŭlus,1
curculio,1
currĕre,1
cĭnĭs,1
cĭrcŭlus,1
cōgere,1
cŏncha,1
dēbĭlis,1
diabŏlus,1
díflà,1
dīscĕre,1
dŭplus,1
ecclēsĭa,1
eclipsis,1
explĭcāre,1
exĭmĕre,1
fabŭla,1
"fax, -cis",1
fēnum,1
flaccus,1
flagrāre,2
flamma,1
flauta,1
flāre,2
flēbilis,1
flōs,1
flŏccus,1
flŭĕre,1
follis,1
fĭstŭla,1
fŏlĭum,1
fūr,1
genū,1
glacĭēs,1
gladius,1
glarĕa,2
glattīre,1
"glāns, -dis",2
glēba,1
globus,1
gluttīre,1
glăber,1
"glīs, -īris",1
glōrĭa,1
glōssa,1
"glŏmus, -eris",1
"glūs, -tis",1
glŭbāre,1
grācŭlus,1
hinnire,1
levis,2
"lēns, -tis",1
lingua,2
lumbrīcus,1
lĭgŭla,1
macŭla,2
manus,2
marcus,2
"mās, -ris",1
miscēre,1
mĕspĭlum,1
mīlvus,1
mīracŭlum,1
mŏvēre,1
mūs,1
mŭtŭlus,1
neglego,1
nĕbŭla,1
nŏvācŭla,1
nūbes,1
obligo,1
oblītus,1
offerre,1
ovis,1
parabŏla,1
pānus,1
"pār, -ris",1
perīcŭlum,1
pēdis,1
placēre,1
plagĭa,1
planca,2
plangĕre,1
planta,1
platus,1
platĕa,1
plaudĕre,1
plāga,2
plānus,2
plēnus,1
plēre,1
plĕcta,1
plĭcāre,2
plōrāre,1
plŏvĕre,1
plūma,1
"plūs, -ris",1
plŭmbum,1
plŭtĕus,1
plŭvĭa,1
portula,1
pustŭla,1
pĕrgŭla,1
pĕssŭlus,1
pōcŭlum,1
pōpŭlus,1
pŏpŭlus,2
pūblĭcus,1
quĕrcēdŭla,1
radere,1
ragere,1
regō,1
replēre,1
rŏta,2
saecŭlum,1
sarcŭlum,1
sarrire,1
saƫl,1
sāccus,1
scandŭla,1
scărăbeus,1
scŏpŭlus,1
serpĕre,1
serrare,1
spatha,1
spĕcĕre,1
spīcum,1
stipula,1
stĭpŭlus,1
sībĭlus,2
sĭmplex-ĭcis,1
sĭmplus,1
sĭngulāris,2
sĭngŭltus or gluttire,1
sĭngŭlus,1
sĭtŭla,1
"sŏrs, -tis",1
sūs,1
sŭfflāre,1
tabŭla,1
tego,1
"tempus, -ŏris",1
terere,1
terrae tuberum,1
torquēre,2
trībŭlum,1
trĭplus,1
tĕmplum,1
tĭtŭlus,1
tŭba,1
tŭrbŭla,1
uncus,1
unguis,2
vectis,1
vermis,1
veru,1
volvere,1
vĕtus,1
vītis,1
vĭncīre,2
vŭlpes,1
īnsŭla,1
ĭnflāre,1
ĭnsūbŭlum,1
ŏcŭlus,2
