source_id,source_type,author,year,title,publisher,place,pages,url,access_date,database_name,source_code,version,isbn,doi
1,book,"Ahlborn, Gunnar",1946,Le Patois de Ruffieu-En-Valromey (Ain),Elander,Göteborg,,,,,,,,
2,book,"Álvarez Blanco, Rosario; Xove, Xosé",2002,Gramática da Lingua Galega,Editorial Galaxia,Vigo,,,,,,,,
3,book,"Ariza Viguera, Manuel",1994,Sobre Fonética Histórica del Español,Arco/Libros,Madrid,,,,,,,,
4,book,"Ariza Viguera, Manuel",2012,Fonología y Fonética Históricas del Español,Arco/Libros,Madrid,,,,,,,,
5,book,"Bonet, Eulália; Lloret, Maria-Rosa",1998,Fonologia Catalana,Ariel,Barcelona,,,,,,,,
6,book,"Bonfante, Giuliano",1990,The Origin of the Romance Languages: Stages in the Development of Latin,Winter,Heidelberg,,,,,,,,
7,book,"Celdrán Gomáriz, Pancracio",2009,Diccionario de Topónimos Españoles y sus Gentilicios,Espasa,Madrid,,,,,,,,
8,book,"Corominas, Joan; Pascual, José Antonio",2012,Diccionario Crítico Etimológico Castellano e Hispánico,Gredos,Madrid,,,,,DCECH,,,
9,book,"Cuveiro Piñol, Juan",1876,Diccionario Gallego,,Barcelona,,,,,,,,
10,book,"Dutton, Brian",1992,Gonzalo de Berceo. Vida de San Millán de la Cogolla,Espasa-Calpe,Madrid,,,,,,,,
11,book,"Carballeira Anllo, Xosé M.",,Dicionario Xerais da Lingua,Xerais,Vigo,,,,,DXL,,,
12,book,"Echenique Elizondo, María Teresa; Martínez Alcalde, María José",2011,Diacronía y Gramática Histórica de La Lengua Española,Tirant Humanidades,Valencia,,,,,,,,
13,book,"Ferreiro Fernández, Manuel",1996,Gramática Histórica Galega I,Laiovento,Santiago de Compostela,,,,,,,,
14,book,"García González, Constantino",1985,Glosario de Voces Galegas de Hoxe,Universidade de Santiago,,,,,,,,,
15,book,"García Turza, Claudio",1992,Gonzalo de Berceo. Los Milagros de Nuestra Señora,Espasa-Calpe,Madrid,,,,,,,,
16,book,"Andrés Díaz, Ramón de",2013,Gramática Comparada de las Lenguas Ibéricas,Trea,Gijón,,,,,GCLI,,,
17,book,"Georges, Karl Ernst",1998,Ausführliches Lateinisch-Deutsches Handwörterbuch,Wissenschaftliche Buchgesellschaft,Darmstadt,,http://www.zeno.org,"March 30, 2025",,Georges,,,
18,book,"García de Diego, Vicente; García de Diego, Carmen",1989,Diccionario Etimológico Español e Hispánico,Espasa-Calpe,Madrid,,,,,DEEH,,,
19,book,"Houaiss, Antônio; Villar, Mauro; Franco, Francisco Manoel de Mello",2004,Dicionário Eletronico Houaiss Da Língua Portuguesa,Objetiva,Rio de Janeiro,,,,,DEHLP,,,
20,book,"Rivas Quintas, Eligio",2015,Dicionario Etimolóxico Da Lingua Galega,Tórculo,Santiago de Compostela,,,,,DELG,,,
21,book,"Cortelazzo, Manlio; Zolli, Paolo",2021,Il Nuovo Etimologico: DELI - Dizionario Etimologico della Lingua Italiana,Zanichelli,Bologna,,,,,DELI,,,
22,book,"Diez, Friedrich; Scheler, Auguste",1887,Etymologisches Wörterbuch der romanischen Sprachen,De Gruyter,Berlin; Boston,,,,,,,,10.1515/9783112605646
23,book,"Figueiredo, Cândido de",1939,Novo Dicionário da Língua Portuguesa,Bertrand,Lisboa,,,,,NDLP,,,
24,book,"Nunes, José J.",1975,Compêndio de Gramática Histórica Portuguesa: (Fonética e Morfologia),Teixeira,Lisboa,,,,,,,,
25,book,"Glare, P. G. W.",2012,Oxford Latin Dictionary,Oxford University Press,Oxford,,,,,OLD,,,
26,book,"Pagés, Aniceto de",1914,Gran Diccionario de la Lengua Castellana (de Autoridades),Fomento comercial del libro,Barcelona,,,,,,,,
27,book,"Sobreira, Fr. J.; Pensado, J. L. (ed.)",1979,Papeletas de un Diccionario Gallego,"Instituto de Estudios Orensanos ""Padre Feijoó""",Ourense,,,,,PDG,,,
28,book,"Penny, Ralph J.",2002,A History of the Spanish Language,Cambridge University Press,Cambridge,,,,,,,,
29,book,Real Academia Española,2011,Nueva Gramática de la Lengua Española. 3/1. Fonética y Fonología,Espasa Libros,Madrid,,,,,,,,
30,book,"Regueira, Xosé L.",2010,Dicionario de Pronuncia da Lingua Galega,Real Academia Galega,A Coruña,,,,,,,,
31,book,"Ríos Panisse, M. do Carme",1977,Nomenclatura de la Flora y Fauna Marítimas de Galicia. I. Invertebrados y Peces,Universidade de Santiago,,,,,,,,,
